latent_dim,feature,encoder_weight,encoder_bias
latent_1,lax,0.3500859,0.013805035
latent_1,lba,-0.64536047,0.013805035
latent_1,lsa,-0.28923818,0.013805035
latent_1,ldvm,-0.047787443,0.013805035
latent_1,ldlm,0.26313174,0.013805035
latent_1,rdlm,-0.10294923,0.013805035
latent_1,rdvm,0.32746884,0.013805035
latent_1,rsa,0.7787798,0.013805035
latent_1,rax,-0.18002537,0.013805035
latent_1,rba,-0.27702618,0.013805035
latent_1,lax_count,0.2699928,0.013805035
latent_1,lba_count,0.18339452,0.013805035
latent_1,lsa_count,-0.34381616,0.013805035
latent_1,ldvm_count,0.015211639,0.013805035
latent_1,ldlm_count,-0.3532102,0.013805035
latent_1,rdlm_count,-0.2802058,0.013805035
latent_1,rdvm_count,-0.8021528,0.013805035
latent_1,rsa_count,-0.2364639,0.013805035
latent_1,rax_count,-0.050601333,0.013805035
latent_1,rba_count,-0.019512452,0.013805035
latent_2,lax,-0.24759698,0.07468387
latent_2,lba,-0.33036515,0.07468387
latent_2,lsa,-0.09085624,0.07468387
latent_2,ldvm,0.9583506,0.07468387
latent_2,ldlm,-0.3192825,0.07468387
latent_2,rdlm,-1.0527716,0.07468387
latent_2,rdvm,0.40675902,0.07468387
latent_2,rsa,0.41909125,0.07468387
latent_2,rax,-0.63594997,0.07468387
latent_2,rba,0.14210156,0.07468387
latent_2,lax_count,-0.3734761,0.07468387
latent_2,lba_count,0.025508957,0.07468387
latent_2,lsa_count,0.2437084,0.07468387
latent_2,ldvm_count,0.44785014,0.07468387
latent_2,ldlm_count,0.42882243,0.07468387
latent_2,rdlm_count,-0.2447197,0.07468387
latent_2,rdvm_count,0.25739467,0.07468387
latent_2,rsa_count,0.50040436,0.07468387
latent_2,rax_count,-0.3065535,0.07468387
latent_2,rba_count,-0.106188364,0.07468387
latent_3,lax,0.5108064,-0.024922602
latent_3,lba,0.18980138,-0.024922602
latent_3,lsa,-0.38221237,-0.024922602
latent_3,ldvm,-0.69683784,-0.024922602
latent_3,ldlm,-0.14882162,-0.024922602
latent_3,rdlm,-0.08434879,-0.024922602
latent_3,rdvm,0.24886993,-0.024922602
latent_3,rsa,0.33193398,-0.024922602
latent_3,rax,-0.45698252,-0.024922602
latent_3,rba,0.13426079,-0.024922602
latent_3,lax_count,0.12249153,-0.024922602
latent_3,lba_count,-0.025859695,-0.024922602
latent_3,lsa_count,0.093676314,-0.024922602
