species,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10
Actias luna,0.16815574,0.7868783,0.2762401,0.73122716,-0.42116058,0.384766,0.28504556,0.2179033,0.52701163,0.07744801
Antheraea polyphemus,-0.039926592,-1.232719,0.21559241,-0.017620478,0.40059945,0.1970584,0.14849527,0.5211553,-0.8609787,0.16992725
Automeris io,0.14605495,-0.95152783,0.3664986,-0.23652679,-0.30119175,0.13743354,-0.839531,0.28238598,-0.23709407,0.27502185
Automeris randa,0.21289438,0.74270576,-0.11175258,0.5018797,-0.036175568,0.5825193,-0.14967357,0.31032616,0.00060970103,-0.14301793
Ceratomia amyntor,0.2173226,0.18203834,0.44483683,-0.08419908,0.08010278,0.44863343,-0.22796647,-0.21783593,0.07982309,0.7035821
Citheronia splendens,-0.18501364,-0.7184993,0.031093424,0.66794467,0.695544,-0.21441981,0.83888423,0.6626786,-0.6581096,-0.072505444
Coloradia doris,0.23896661,-1.0279381,0.7590364,0.8866098,-0.17193638,0.90194255,-0.20782568,0.39688823,0.080316514,0.9068303
Hemaris diffinis,0.3655767,0.2513129,1.4657758,-0.38613605,-0.48240328,0.22593655,0.2521491,0.042251136,0.2602324,-0.029484397
Hyalophora columbia,-0.04937531,-0.22642833,0.3637145,-0.10601925,0.06180073,0.46685842,-0.6072149,0.41601598,-0.69253105,0.92378014
Hyles lineata,0.11179497,0.6463759,0.57282174,-1.154192,0.24778034,-0.21326329,0.24305366,0.22374995,0.5481691,0.06951302
Manduca sexta,-0.46800697,0.18447292,-0.254997,0.46667704,-0.29971263,-0.10877894,-0.811005,0.07129461,-0.16257018,-0.3435978
Saturnia walterorum,-0.26924637,-0.6350515,0.13733608,-0.20534101,-0.11345052,0.35809106,-0.8032852,0.4413348,-0.23986143,0.6407107
