,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10
unit_1,0.18043824,0.12165684,-0.61154705,-0.57360274,-0.866598,0.09653875,-0.61848277,-0.7316584,0.8415039,-0.055557452
unit_2,-0.20931923,1.3040578,-0.1235574,-0.31894216,-0.20713167,-0.60993665,0.6490579,0.7785398,0.93644464,0.07592547
unit_3,-0.8420219,0.8464792,-0.25416997,-0.7338955,0.09526518,0.7636478,0.61549246,-0.051287696,-0.22131816,0.48559582
unit_4,-0.34228957,0.24549723,-0.22636427,0.9051458,-0.11658745,0.09114214,-1.063582,0.083421916,0.11244817,-1.7185744
unit_5,-0.05146374,-0.4556553,0.26620498,-0.8810601,-0.860211,-0.67820513,-1.236687,0.80121046,0.2647626,-0.06553672
unit_6,-0.48549512,-0.08958913,-0.5075267,0.60511726,-0.2579297,-1.5116338,-0.37717652,-1.2306541,-0.22450994,-0.16683705
unit_7,-1.2494477,0.036020376,-0.6477985,-1.5250913,0.53179324,0.05508369,0.16926287,-0.2583118,0.34436622,-0.3349894
unit_8,-0.8508342,0.39347294,0.43575332,-0.83258593,-0.1429034,0.24332032,-1.16287,0.19412507,0.249433,-0.27616593
unit_9,0.82884616,-0.17574012,-0.3097804,-0.41437164,0.47621247,0.12330028,0.68998104,-0.9332482,0.040278636,-0.19669773
unit_10,0.48851794,1.1730794,0.1809957,0.11976565,0.448501,-1.1255692,0.41833237,0.87140995,-0.056299966,0.6564578
unit_11,0.48671973,1.1614937,-0.5140879,-0.8034898,-2.3004222,0.81590176,0.26087078,0.9422663,-1.9437116,-0.49589318
unit_12,-0.7638425,-0.33459878,0.4933693,-0.37806764,-0.17504323,-0.42465362,0.29823852,-0.02154581,0.6977698,-1.7404065
