species,latent_dim,feature,encoder_weight,encoder_bias
Actias luna,latent_1,lax,-0.20100218,0.39150283
Actias luna,latent_1,lba,0.30631378,0.39150283
Actias luna,latent_1,lsa,0.056192737,0.39150283
Actias luna,latent_1,ldvm,-0.5266095,0.39150283
Actias luna,latent_1,ldlm,-0.16077346,0.39150283
Actias luna,latent_1,rdlm,-0.23772523,0.39150283
Actias luna,latent_1,rdvm,-0.37692076,0.39150283
Actias luna,latent_1,rsa,0.069684245,0.39150283
Actias luna,latent_1,rax,-0.06034626,0.39150283
Actias luna,latent_1,rba,0.12686451,0.39150283
Actias luna,latent_1,lax_count,0.13710377,0.39150283
Actias luna,latent_1,lba_count,-0.2457186,0.39150283
Actias luna,latent_1,lsa_count,-0.3873084,0.39150283
Actias luna,latent_1,ldvm_count,-0.16558091,0.39150283
Actias luna,latent_1,ldlm_count,-0.17531814,0.39150283
Actias luna,latent_1,rdlm_count,0.15358795,0.39150283
Actias luna,latent_1,rdvm_count,-0.18469867,0.39150283
Actias luna,latent_1,rsa_count,0.119907565,0.39150283
Actias luna,latent_1,rax_count,-0.005142294,0.39150283
Actias luna,latent_1,rba_count,0.20919538,0.39150283
Actias luna,latent_2,lax,0.19106671,-0.37001085
Actias luna,latent_2,lba,-0.46419564,-0.37001085
Actias luna,latent_2,lsa,0.030883102,-0.37001085
Actias luna,latent_2,ldvm,0.31943733,-0.37001085
Actias luna,latent_2,ldlm,-0.20021193,-0.37001085
Actias luna,latent_2,rdlm,-0.00087526394,-0.37001085
Actias luna,latent_2,rdvm,0.3376656,-0.37001085
Actias luna,latent_2,rsa,-0.16745335,-0.37001085
Actias luna,latent_2,rax,-0.40536058,-0.37001085
Actias luna,latent_2,rba,-0.1102182,-0.37001085
Actias luna,latent_2,lax_count,0.029472189,-0.37001085
Actias luna,latent_2,lba_count,0.06174253,-0.37001085
Actias luna,latent_2,lsa_count,0.3307264,-0.37001085
Actias luna,latent_2,ldvm_count,-0.028760515,-0.37001085
Actias luna,latent_2,ldlm_count,0.28083423,-0.37001085
Actias luna,latent_2,rdlm_count,-0.17930555,-0.37001085
Actias luna,latent_2,rdvm_count,0.055983003,-0.37001085
Actias luna,latent_2,rsa_count,-0.27938828,-0.37001085
Actias luna,latent_2,rax_count,-0.27792376,-0.37001085
Actias luna,latent_2,rba_count,-0.06682614,-0.37001085
Antheraea polyphemus,latent_1,lax,-0.08067317,0.13847475
Antheraea polyphemus,latent_1,lba,0.051669385,0.13847475
Antheraea polyphemus,latent_1,lsa,0.019949783,0.13847475
Antheraea polyphemus,latent_1,ldvm,-0.26615608,0.13847475
Antheraea polyphemus,latent_1,ldlm,-0.04963445,0.13847475
Antheraea polyphemus,latent_1,rdlm,0.5659977,0.13847475
Antheraea polyphemus,latent_1,rdvm,0.056349117,0.13847475
Antheraea polyphemus,latent_1,rsa,-0.5624763,0.13847475
Antheraea polyphemus,latent_1,rax,-0.11342395,0.13847475
Antheraea polyphemus,latent_1,rba,0.05797846,0.13847475
Antheraea polyphemus,latent_1,lax_count,0.0049704826,0.13847475
Antheraea polyphemus,latent_1,lba_count,0.1692151,0.13847475
Antheraea polyphemus,latent_1,lsa_count,-0.4473705,0.13847475
Antheraea polyphemus,latent_1,ldvm_count,-0.026656564,0.13847475
Antheraea polyphemus,latent_1,ldlm_count,0.16278873,0.13847475
Antheraea polyphemus,latent_1,rdlm_count,0.2964402,0.13847475
Antheraea polyphemus,latent_1,rdvm_count,-0.23364604,0.13847475
Antheraea polyphemus,latent_1,rsa_count,0.07095797,0.13847475
Antheraea polyphemus,latent_1,rax_count,-0.31051093,0.13847475
Antheraea polyphemus,latent_1,rba_count,0.5620217,0.13847475
Antheraea polyphemus,latent_2,lax,0.2083607,-0.06933266
Antheraea polyphemus,latent_2,lba,-0.039682575,-0.06933266
Antheraea polyphemus,latent_2,lsa,-0.31856194,-0.06933266
Antheraea polyphemus,latent_2,ldvm,0.056834836,-0.06933266
Antheraea polyphemus,latent_2,ldlm,0.08338411,-0.06933266
Antheraea polyphemus,latent_2,rdlm,-0.27126902,-0.06933266
Antheraea polyphemus,latent_2,rdvm,0.119134985,-0.06933266
Antheraea polyphemus,latent_2,rsa,0.49924064,-0.06933266
Antheraea polyphemus,latent_2,rax,0.27761796,-0.06933266
Antheraea polyphemus,latent_2,rba,-0.09532962,-0.06933266
Antheraea polyphemus,latent_2,lax_count,-0.12963793,-0.06933266
Antheraea polyphemus,latent_2,lba_count,0.16208288,-0.06933266
Antheraea polyphemus,latent_2,lsa_count,0.3632988,-0.06933266
Antheraea polyphemus,latent_2,ldvm_count,-0.03741553,-0.06933266
Antheraea polyphemus,latent_2,ldlm_count,0.12633428,-0.06933266
Antheraea polyphemus,latent_2,rdlm_count,-0.3127183,-0.06933266
Antheraea polyphemus,latent_2,rdvm_count,0.23739924,-0.06933266
Antheraea polyphemus,latent_2,rsa_count,-0.21437769,-0.06933266
Antheraea polyphemus,latent_2,rax_count,0.10761504,-0.06933266
Antheraea polyphemus,latent_2,rba_count,-0.43039295,-0.06933266
Automeris io,latent_1,lax,0.1298625,-0.12488233
Automeris io,latent_1,lba,0.055765692,-0.12488233
Automeris io,latent_1,lsa,0.009910479,-0.12488233
Automeris io,latent_1,ldvm,0.36029598,-0.12488233
Automeris io,latent_1,ldlm,-0.023896784,-0.12488233
Automeris io,latent_1,rdlm,-0.13632976,-0.12488233
Automeris io,latent_1,rdvm,0.25400612,-0.12488233
Automeris io,latent_1,rsa,-0.03535408,-0.12488233
Automeris io,latent_1,rax,-0.108622454,-0.12488233
Automeris io,latent_1,rba,-0.07881005,-0.12488233
Automeris io,latent_1,lax_count,-0.37656724,-0.12488233
Automeris io,latent_1,lba_count,0.038408034,-0.12488233
Automeris io,latent_1,lsa_count,-0.35870013,-0.12488233
Automeris io,latent_1,ldvm_count,0.18752214,-0.12488233
Automeris io,latent_1,ldlm_count,0.22523084,-0.12488233
Automeris io,latent_1,rdlm_count,-0.006672607,-0.12488233
Automeris io,latent_1,rdvm_count,0.17870082,-0.12488233
Automeris io,latent_1,rsa_count,-0.3001885,-0.12488233
Automeris io,latent_1,rax_count,0.04369278,-0.12488233
Automeris io,latent_1,rba_count,0.21939087,-0.12488233
Automeris io,latent_2,lax,0.15000649,-0.058692183
Automeris io,latent_2,lba,0.16913359,-0.058692183
Automeris io,latent_2,lsa,-0.11487533,-0.058692183
Automeris io,latent_2,ldvm,-0.29672956,-0.058692183
Automeris io,latent_2,ldlm,0.10703874,-0.058692183
Automeris io,latent_2,rdlm,-0.094122775,-0.058692183
Automeris io,latent_2,rdvm,-0.07073036,-0.058692183
Automeris io,latent_2,rsa,-0.37120783,-0.058692183
Automeris io,latent_2,rax,-0.16994612,-0.058692183
Automeris io,latent_2,rba,-0.052747432,-0.058692183
Automeris io,latent_2,lax_count,0.4022742,-0.058692183
Automeris io,latent_2,lba_count,-0.011946368,-0.058692183
Automeris io,latent_2,lsa_count,0.5633511,-0.058692183
Automeris io,latent_2,ldvm_count,-0.15224402,-0.058692183
Automeris io,latent_2,ldlm_count,0.039454192,-0.058692183
Automeris io,latent_2,rdlm_count,0.30912262,-0.058692183
Automeris io,latent_2,rdvm_count,-0.09693255,-0.058692183
Automeris io,latent_2,rsa_count,0.29558283,-0.058692183
Automeris io,latent_2,rax_count,0.08197251,-0.058692183
Automeris io,latent_2,rba_count,-0.28096092,-0.058692183
Automeris randa,latent_1,lax,0.12880516,0.12504366
Automeris randa,latent_1,lba,0.5365573,0.12504366
Automeris randa,latent_1,lsa,0.3881437,0.12504366
Automeris randa,latent_1,ldvm,-0.097621374,0.12504366
Automeris randa,latent_1,ldlm,-0.14808105,0.12504366
